key,total,kept,dropped,kept_pct,example_value
@id,64631,0,64631,0.0,relation/3099
@geometry,37096,0,37096,0.0,center
leaf_type,4651,0,4651,0.0,mixed
source,3119,0,3119,0.0,Dshpak_landsat_lakes
name:en,3117,0,3117,0.0,Shatt al-Arab
leaf_cycle,1798,0,1798,0.0,deciduous
type,1440,0,1440,0.0,multipolygon
denotation,1104,7,1097,0.6,Sea-buckthorn
disused:natural,551,0,551,0.0,water
height,452,1,451,0.2,16
landuse,317,0,317,0.0,reservoir
drinking_water,285,0,285,0.0,no
waterway,256,0,256,0.0,dam
name:ar,255,0,255,0.0,شط العرب
name:de,218,0,218,0.0,Schatt al-Arab
source:ele,217,0,217,0.0,Iran NGO Map
name,9532,9319,213,97.8,رود کارون
addr:city,207,0,207,0.0,اندیمشک
addr:street,204,0,204,0.0,لطفعلی خان
protect_class,178,0,178,0.0,5
protection_title,165,1,164,0.6,Protected Area
area,161,0,161,0.0,yes
ref:IUCN,138,0,138,0.0,V
name:ru,119,0,119,0.0,Шатт-эль-Араб
aquaculture,111,0,111,0.0,fish
name:fr,109,0,109,0.0,Chatt-el-Arab
ownership,107,0,107,0.0,national
amenity,96,0,96,0.0,place_of_worship
surface,97,2,95,2.1,sand
source:name,95,0,95,0.0,GNS
barrier,93,0,93,0.0,city_wall
source:prominence,80,0,80,0.0,5610-943 (col between Pona and Chumateleti)
is_in:country,74,0,74,0.0,Iran
alt_name:en,73,0,73,0.0,River of the Arabs
place,71,0,71,0.0,sea
material,68,1,67,1.5,stone
geological,67,0,67,0.0,salt_dome
name:az,65,0,65,0.0,Şəttül-Ərəb
fixme,61,1,60,1.6,refine
name:it,60,0,60,0.0,Shatt al-'Arab
int_name,58,0,58,0.0,Shatt Al-Arab
name:tr,55,0,55,0.0,Şattülarap
gns:dsg,52,0,52,0.0,SEA
man_made,51,0,51,0.0,reservoir_covered
genus,46,1,45,2.2,Quercus
name:ja,43,0,43,0.0,シャットゥルアラブ川
description:en,39,0,39,0.0,"Darbandikhan Lake, 65 km southeast of Sulaymaniyah in northern Iraq, is a large "
name:es,38,0,38,0.0,Chat el Arab
name:zh,38,0,38,0.0,阿拉伯河
name:ml,36,0,36,0.0,ശത്ത്-അൽ അറബ്
highway,36,0,36,0.0,pedestrian
lit,36,0,36,0.0,yes
reservoir_type,35,0,35,0.0,water_storage
crop,34,0,34,0.0,barberry
visit,34,0,34,0.0,permissive
wall,33,0,33,0.0,brick
alt_name,333,301,32,90.4,دجلة العوراء
note,59,27,32,45.8,Urmia Lake before shrinking
ref:ichhto,31,0,31,0.0,918
ruins,28,0,28,0.0,castle
name:ckb,27,0,27,0.0,شەتەلعەرەب
historic:civilization,27,0,27,0.0,sassanid
name:ku,26,0,26,0.0,Şetelereb
seasonal,26,0,26,0.0,yes
bridge,26,0,26,0.0,yes
description,252,227,25,90.1,نهر عراقي يتكون من التقاء نهري دجلة والفرات ويصب في الخليج العربي
wheelchair,23,0,23,0.0,yes
ref:WDPA,22,0,22,0.0,705
name:hy,20,0,20,0.0,Շատ ալ-Արաբ
addr:housenumber,20,0,20,0.0,69-64
tomb,19,0,19,0.0,rock-cut
ele:source,19,0,19,0.0,gitashenasi
name:azb,18,0,18,0.0,شط العرب
name:cs,18,0,18,0.0,Šatt al-Arab
name:pt,18,0,18,0.0,Xatalárabe
name:ur,18,0,18,0.0,شط العرب
ref:whc,18,0,18,0.0,1397
is_in:state,18,0,18,0.0,Bushehr
species,18,0,18,0.0,Quercus Ilex
diameter,18,0,18,0.0,6 m
name:uk,17,0,17,0.0,Шатт-ель-Араб
name:hi,17,0,17,0.0,कैस्पियन सागर
name:he,16,0,16,0.0,שט אל-ערב
name:hr,16,0,16,0.0,Šat al-Arab
whc:criteria,16,0,16,0.0,ii
name:sk,15,0,15,0.0,Šatt al-Arab
boat,15,0,15,0.0,no
archaeological_site,15,0,15,0.0,structure
name:tk,14,0,14,0.0,Hazar deňzi
building:levels,14,0,14,0.0,1.5
name:nl,13,0,13,0.0,Sjatt al-Arab
name:be,12,0,12,0.0,Арвандруд
sport,12,0,12,0.0,swimming
content,12,0,12,0.0,sewage
name:sv,11,0,11,0.0,Shatt al-Arab
whc:inscription_date,11,0,11,0.0,2012
volcano:type,11,0,11,0.0,stratovolcano
shop,11,0,11,0.0,mall
water_source,11,0,11,0.0,rain fed
name:ca,10,0,10,0.0,Xatt al-Arab
name:ko,10,0,10,0.0,샤트알아랍강
name:sr,10,0,10,0.0,Шат ел Араб
building:material,10,0,10,0.0,brick
addr:postcode,10,0,10,0.0,69561
emergency,10,0,10,0.0,yes
name:ar1,10,0,10,0.0,هور المریس
taxon:family,10,0,10,0.0,Arecaceae
name:bg,9,0,9,0.0,Шат ал-Араб
name:hu,9,0,9,0.0,Shatt al-Arab
name:pl,9,0,9,0.0,Szatt al-Arab
name:el,9,0,9,0.0,Ἀράξης
bicycle,9,0,9,0.0,designated
covered,9,0,9,0.0,yes
addr:country,9,0,9,0.0,IR
name:fi,8,0,8,0.0,Shatt al-Arab
name:ka,8,0,8,0.0,შატ-ელ-არაბი
name:bal,8,0,8,0.0,گابریک ءُ جاسک سپارگ بوتءِ الاکہ
url,8,0,8,0.0,https://www.360cities.net/image/sunset-talab-meighan-arak-iran;https://www.360ci
glacier:type,8,0,8,0.0,mountain
subject:wikipedia,8,0,8,0.0,fa:شاه نعمت‌الله ولی
colour,8,0,8,0.0,brown
disused,8,0,8,0.0,yes
object:city,8,0,8,0.0,Abarkuh
email,8,0,8,0.0,sarayekhankohne@gmail.com
name:bn,7,0,7,0.0,শাতিল আরব
name:da,7,0,7,0.0,Shatt al-Arab
name:eo,7,0,7,0.0,Ŝatt al-Arab
name:eu,7,0,7,0.0,Xatt al-Arab
name:lt,7,0,7,0.0,Šat al Arabas
name:mk,7,0,7,0.0,Шат ел-Араб
name:sl,7,0,7,0.0,Šat el Arab
name:vi,7,0,7,0.0,Shatt al-Arab
alt_name:ar,7,0,7,0.0,بحيرة سد دربندیخان
name:kk,7,0,7,0.0,Арас
name:mzn,7,0,7,0.0,مازرون دریا
source:position,7,0,7,0.0,MapBox
ship,7,0,7,0.0,no
width,7,0,7,0.0,21 nautical miles
check_date,7,0,7,0.0,2024-03-16
created_by,7,0,7,0.0,JOSM
volcano:status,7,0,7,0.0,dormant
population,7,0,7,0.0,18000
direction,7,0,7,0.0,N
tunnel,7,0,7,0.0,culvert
grassland,7,0,7,0.0,prairie
circumference,7,0,7,0.0,18
is_in,130,124,6,95.4,خوزستان
alt_name:ru,6,0,6,0.0,Арабский берег
name:ba,6,0,6,0.0,Шәтт әл-Ғәрәп
name:cv,6,0,6,0.0,Шатт-эль-Араб
name:id,6,0,6,0.0,Sungai Shatt al-Arab
name:sh,6,0,6,0.0,Šat al-Arab
name:glk,6,0,6,0.0,کاسپی دریا
source:tracer,6,0,6,0.0,scanaerial
source:zoomlevel,6,0,6,0.0,14
GNS:id,6,0,6,0.0,6209541
basin,6,0,6,0.0,water
depth,6,0,6,0.0,4
admin_level,6,0,6,0.0,7
owner,6,0,6,0.0,national
building:condition,6,0,6,0.0,ruin
species:wikidata,6,0,6,0.0,Q147513
maxspeed,6,1,5,16.7,30
name:cy,5,0,5,0.0,Shatt al-Arab
name:et,5,0,5,0.0,Shaţţ al-‘Arab
name:no,5,0,5,0.0,hatt al-Arab
name:ro,5,0,5,0.0,Shatt al-Arab
name:ky,5,0,5,0.0,Аракс
name:os,5,0,5,0.0,Аракс
name:tg,5,0,5,0.0,Арас
name:mn,5,0,5,0.0,Каспийн тэнгис
name:zh-Hans,5,0,5,0.0,里海
name:zh-Hant,5,0,5,0.0,裏海
canoe,5,0,5,0.0,yes
heritage:website,5,0,5,0.0,http://whc.unesco.org/en/list/1372
name:az-Arab,5,0,5,0.0,کیچیک زاب چایی
motorboat,5,0,5,0.0,no
is_in:country_code,5,0,5,0.0,ir
operator:type,5,0,5,0.0,government
foot,5,0,5,0.0,designated
buried:wikidata,5,0,5,0.0,Q8423
level,5,0,5,0.0,2
subject:wikidata,5,0,5,0.0,Q913037
building:colour,5,0,5,0.0,brown
internet_access,5,0,5,0.0,wlan
name:lv,4,0,4,0.0,Šatelaraba
name:nn,4,0,4,0.0,Shatt al-Arab
name:oc,4,0,4,0.0,Chatt el-Arab
name:pnb,4,0,4,0.0,شط العرب
name:ps,4,0,4,0.0,شات العرب
name:th,4,0,4,0.0,ชัฏฏุลอะร็อบ
name:uz,4,0,4,0.0,Shatt ul-Arab
old_name:en,4,0,4,0.0,Shah Abbasi Caravanserai of Bisotun
name:am,4,0,4,0.0,አራስ ወንዝ
name:grc,4,0,4,0.0,Ἀράξης
name:hsb,4,0,4,0.0,Aras
name:tt,4,0,4,0.0,Аракс
gns:uni,4,0,4,0.0,-2149697
managed,4,0,4,0.0,no
supervised,4,0,4,0.0,no
oneway,4,0,4,0.0,yes
ref,4,0,4,0.0,1077
glacier:ele_bottom,4,0,4,0.0,3900
glacier:ele_top,4,0,4,0.0,5070
length,4,0,4,0.0,1700
horse,4,0,4,0.0,no
water_supply,4,0,4,0.0,running_water
incline,4,0,4,0.0,up
addr:province,4,0,4,0.0,خراسان رضوی
industrial,4,0,4,0.0,settling_pond
addr:village,4,0,4,0.0,افین
spring:type,4,0,4,0.0,hot
name:bh,3,0,3,0.0,शत अल अरब
name:ceb,3,0,3,0.0,Shatt al Arab
name:fy,3,0,3,0.0,Arabyske Rivier
name:la,3,0,3,0.0,Šaṭṭ al-ʿArab
name:ta,3,0,3,0.0,சாட் அல் அராப் ஆறு
name:hyw,3,0,3,0.0,Արաքս
alt_name:vi,3,0,3,0.0,Lý Hải
name:arc,3,0,3,0.0,ܝܡܐ ܐܚܪܝܐ
name:ia,3,0,3,0.0,Mar Caspie
alt_name:de,3,0,3,0.0,Freitagsmoschee
image_1,3,0,3,0.0,http://www.citypedia.ir/wp-content/uploads/2014/12/%D8%B9%DA%A9%D8%B3-%D9%87%D9%
name:etymology:wikidata,3,0,3,0.0,Q5781655
min_height,3,0,3,0.0,1.0
alt_name:az,3,0,3,0.0,Urmiyə gölü;Urmiya gölü
name:sdh,3,0,3,0.0,زێی بچووک
water_characteristic,3,0,3,0.0,mineral
air_conditioning,3,0,3,0.0,yes
is_in:province,3,0,3,0.0,هرمزگان
bridge:structure,3,0,3,0.0,arch
historic:period,3,0,3,0.0,achaemenid
name_1:ru,3,0,3,0.0,Восемь райских садов
roof:shape,3,0,3,0.0,pyramidal
city,3,0,3,0.0,kerman
capacity,3,0,3,0.0,50
step_count,3,0,3,0.0,4
playground,3,0,3,0.0,roundabout
playground:theme,3,0,3,0.0,playground
trees,3,0,3,0.0,olive_trees
abandoned,3,0,3,0.0,yes
condition,3,0,3,0.0,damaged
place_of_worship,3,0,3,0.0,church
cuisine,3,0,3,0.0,regional;kebab
spring,3,0,3,0.0,drinking_water
mountain_pass,3,0,3,0.0,yes
summit:cross,3,0,3,0.0,yes
free_flying:paragliding,3,0,3,0.0,yes
free_flying:site,3,0,3,0.0,landing
designation,5,3,2,60.0,لاگن های تبخیری مواد شمیایی
power,3,1,2,33.3,expert
alt_name:fr,2,0,2,0.0,Chott-el-Arab
alt_name:ku,2,0,2,0.0,Şet el-Ereb
name:arz,2,0,2,0.0,شط العرب
name:pa,2,0,2,0.0,ਸ਼ਤ ਅਲ-ਅਰਬ
